ID,Name,Make,Model,Reason,Missing Fields
"335","Chevrolet Custom Van","Chevrolet","Custom Van","Missing required fields","registration"
"666","Sceptre ","Sceptre","(empty)","Empty model field",""
"133","Vespa ","Vespa","(empty)","Empty model field",""
"145","Maserati ","Maserati","(empty)","Empty model field",""
"342","Austin Healey Sprite mkII","Austin","Healey Sprite mkII","Missing required fields","registration"
"392","Simson ","Simson","(empty)","Empty model field",""
"431","Austin Gasser ","Austin","Gasser ","Missing required fields","registration"
"436","Land Rover ","Land Rover","(empty)","Empty model field",""
"439","Mercedes ","Mercedes","(empty)","Empty model field",""
"441","Mercury ","Mercury","(empty)","Empty model field",""
"442","British Leyland ","British Leyland","(empty)","Empty model field",""
"465","Porsche ","Porsche","(empty)","Empty model field",""
"479","Porsche 356 Speedster","Porsche","356 Speedster","Missing required fields","registration"
"531","BMW M5 E60","BMW","M5 E60","Missing required fields","registration"
"543","BMW ","BMW","(empty)","Empty model field",""
"578","Sunbeam Alpine V8","Sunbeam","Alpine V8","Missing required fields","registration"
"641","BMW M3 Evo Coupe","5","BMW M3 Evo Coupe","No owner email",""
"product_12d8246c-a574-198a-002c-b937a1ed8f23","Peugeot 504Ti","Peugeot","Peugeot 504Ti","No owner email",""
"product_528e6e04-1dac-db94-9f36-2508a897f460","Mercedes 500 SEC","Mercedes","Mercedes 500 SEC","No owner email",""
"product_cf8bd9f2-bd58-5db0-03e5-93ea3fe0a2f0","Rolls-Royce Silver Wraith","8","Rolls-Royce Silver Wraith","No owner email",""
"product_0c2fe1e7-0961-70b0-dbfe-9327807bf75e","Volkswagen Beetle","4","Volkswagen Beetle","No owner email",""
"product_fa7b29f9-1d30-0f20-79d8-78cdda643f4c","Volkswagen Camper T2","5","Volkswagen Camper T2","No owner email",""
"product_2a368785-0f35-24b8-6567-c5e2b3b2a4ba","Volkswagen Camper T2","7","Volkswagen Camper T2","No owner email",""
"product_657b3c82-6efb-0b90-f474-a36dd960a6ce","Volkswagen Camper T2","6","Volkswagen Camper T2","No owner email",""
"product_db32f6b1-2388-2fd8-29fd-6aa6e9f56deb","Vauxhall Victor FE","Vauxhall","Vauxhall Victor FE","No owner email",""
"product_0f5f68d5-4e86-c756-a45a-ac4d1384985c","Volkswagen Camper","5","Volkswagen Camper","No owner email",""
"product_c9a68839-9c9f-3623-700c-4ec064b0c7c0","Volkswagen Camper T2","4","Volkswagen Camper T2","No owner email",""
"product_50b0e803-328f-2f9f-6e60-2fea49f7e335","Buick Riviera","Buick","Buick Riviera","No owner email",""
"product_15320c08-5724-1907-3987-d2b6fae82f7f","Cadillac Sedan De Ville","Cadillac","Cadillac Sedan De Ville","No owner email",""
"product_587bb214-aef7-3e7f-87ae-ed8b03736da8","BMW 316","BMW","BMW 316","No owner email",""
"product_ce14fb67-8214-db32-0ee4-4c6d3825e5ab","MGB GT","MG","MGB GT","No owner email",""
"product_9403fff2-a920-537d-3f71-02b7677bdd24","Mercedes S320","Mercedes","Mercedes S320","No owner email",""
"product_655bb17c-58df-160c-e076-8ca73e2325ce","Porsche 911 Speedster","Porsche","Porsche 911 Speedster","No owner email",""
"product_28af3199-0e8a-3559-0cfe-68a648bdec14","Triumph Stag","Triumph","Triumph Stag","No owner email",""
"product_3db9ed78-533f-dff8-efc9-d45b55d1419f","Porsche 911 996.2 GT3","Porsche","Porsche 911 996.2 GT3","No owner email",""
"product_53b9f65c-16a3-16e4-5481-8b432bc946ae","Porsche 944 Turbo","Porsche","Porsche 944 Turbo","No owner email",""
"product_6b561706-3ca6-4265-c356-266e87fa5dbd","Porsche 911 964 C4","Porsche","Porsche 911 964 C4","No owner email",""
"product_3e04e4de-f092-016d-599c-830fe07389eb","Porsche 911 964 C2","Porsche","Porsche 911 964 C2","No owner email",""
"product_dba72e44-946a-9862-ab14-480bdd2eb707","Mercedes 190 SL","Mercedes","Mercedes 190 SL","No owner email",""
"product_984ca188-0ade-e799-2660-6413d94b3ad3","DMC DeLorean D12","DMC","DMC DeLorean D12","No owner email",""
"product_af9cc95c-646a-92fe-ced4-a1c66402be4c","BMW E30 Cabriolet","BMW","BMW E30 Cabriolet","No owner email",""
"product_2da3ab0c-3e66-8413-7a85-d8a1b0e9d665","Volkswagen Beetle","Volkswagen","Volkswagen Beetle","No owner email",""
"product_cfe11ae3-a1e5-a234-90c0-5e2c9eeb38e9","Mercedes 190e","Mercedes","Mercedes 190e","No owner email",""
"product_46c29ff2-d01f-79f3-b83f-e4fa65f18e69","Mercedes 450SL","Mercedes","Mercedes 450SL","No owner email",""
"product_71204d6a-eba4-74fa-10bd-f4f4a83bcd25","Mercedes R129 500SL","Mercedes","Mercedes R129 500SL","No owner email",""
"product_517b030f-cb13-719b-37a9-df707726f2b5","Jaguar XJS Convertible V12","Jaguar","Jaguar XJS Convertible V12","No owner email",""
"product_b3d67edc-7e51-9e90-17b9-116a13598b65","Chevrolet Chevelle Malibu SS","Chevrolet","Chevrolet Chevelle Malibu SS","No owner email",""
"product_30ed32f3-0e02-8f90-596b-fd04d9c67299","Volkswagen Golf Clipper Cabriolet","Volkswagen","Volkswagen Golf Clipper Cabriolet","No owner email",""
"product_8eb35a27-31e5-4cb4-2f04-a4d453cd57c5","Volkswagen Mk1 Golf","Volkswagen","Volkswagen Mk1 Golf","No owner email",""
"product_efeeae10-c461-43d8-cade-0e09cea20f71","Fiat 500","Fiat","Fiat 500","No owner email",""
"product_49815174-7b52-0e7a-c771-6e081359d100","BMW E30 325i sport","BMW","BMW E30 325i sport","No owner email",""
"product_1c75c4f7-c575-5c53-bdad-cd94b7ec92c6","MG A","MG","MG A","No owner email",""
"product_82ebe3fd-5b69-f425-9bbf-3ccd25b23079","Rolls-Royce Silver Cloud III FHC","Rolls-Royce","Rolls-Royce Silver Cloud III FHC","No owner email",""
"product_70ef2c97-8b3d-c8a4-b2bc-300c0d03421a","Rover P5B Coupé","Rover","Rover P5B Coupé","No owner email",""
"product_948165b2-8a56-89ff-8df5-134dfcb91daa","Cadillac Eldorado Biarritz","Cadillac","Cadillac Eldorado Biarritz","No owner email",""
"product_91646b53-089d-1f62-21e2-a1ec231f6c6a","BMW E28 525e","BMW","BMW E28 525e","No owner email",""
"product_d2d36380-f853-0c62-f7ec-2bc42e758a0e","Volkswagen Golf","Right Hand Drive","Volkswagen Golf","No owner email",""
"product_6f5bce03-fa07-bfda-b0aa-2d4beeb2ae04","Mercedes 320CE","Right Hand Drive","Mercedes 320CE","No owner email",""
"product_41040965-5e5f-bb18-673b-e18606f91627","BMW E30 318i","Right Hand Drive","BMW E30 318i","No owner email",""
"product_7270eea9-00f2-5288-03dc-5ddc9bffb872","Mercedes SL280","Mercedes","Mercedes SL280","No owner email",""
"product_68bfebfd-c6c6-e167-500c-433d43598f36","BMW 635csi","BMW","BMW 635csi","No owner email",""
"product_b21a81c0-3cd9-9e0e-889e-84384b795608","Range Rover 4.6 HSE","5","Range Rover 4.6 HSE","No owner email",""
"product_bc5ccb5e-9ff4-73e8-7fb6-08af533c1554","Ford Granada","5","Ford Granada","No owner email",""
"product_33b43d5d-e34b-148d-980b-a158853fdfab","Ford Granada","Ford","Ford Granada","No owner email",""
"product_34022825-6847-d41d-443a-3049e43b0540","Ford Galaxie","Ford","Ford Galaxie","No owner email",""
"product_351ce897-9fad-9d9a-0b5a-dbd734cb8b82","Edsel Pacer Convertible","#ffff00:yellow","Edsel Pacer Convertible","No owner email",""
"product_7be462ba-b9ad-4d61-9be7-a3efe2caeffd","Jaguar Sovereign","5","Jaguar Sovereign","No owner email",""
"product_cba46a13-d7c4-60ea-a781-71b0b2a7e48e","Edsel Ranger","Edsel","Edsel Ranger","No owner email",""
"product_c7100e98-d83c-db92-d37d-71a236997cc7","Chevrolet Bel Air","Chevrolet","Chevrolet Bel Air","No owner email",""
